family,run_name,seed,best_epoch,total_epochs,best_metrics.test/accuracy,best_metrics.test/f1,best_metrics.test/mcc,best_metrics.test/pr_auc,best_metrics.test/precision,best_metrics.test/recall,best_metrics.test/roc_auc,best_metrics.val/accuracy,best_metrics.val/f1,best_metrics.val/mcc,best_metrics.val/pr_auc,best_metrics.val/precision,best_metrics.val/recall,best_metrics.val/roc_auc,best_metrics.train/loss,last_metrics.train/loss,parameter_count,benchmark.latency_mean_seconds,benchmark.latency_std_seconds,benchmark.peak_memory_bytes
Transformer-reconstruction,134-lay3-mod48-lat8-ff196,44,60,110,0.8142221,0.8295567,0.6265646,0.9280672,0.80991864,0.8501708,0.9033114,0.8083744,0.8215724,0.6148162,0.9228015,0.8137067,0.8295917,0.89126,0.0133123705,0.0068766377,175931,0.0014380845,3.3752684e-05,230400
Transformer-reconstruction,135-lay3-mod48-lat12-ff196,42,50,110,0.8169038,0.81551534,0.64208114,0.9166544,0.87841517,0.7610216,0.8764737,0.8124405,0.8098412,0.63457006,0.9131127,0.8786639,0.75101674,0.87180007,0.0093811555,0.002578972,176319,0.0014358171,3.325755e-05,230400
Transformer-reconstruction,135-lay3-mod48-lat12-ff196,43,60,110,0.8313076,0.8326467,0.6677384,0.9307325,0.8811989,0.78916544,0.9008696,0.8291807,0.82973313,0.6644185,0.92712903,0.8828333,0.7826582,0.89411753,0.0058305515,0.0024331799,176319,0.0014352984,3.587634e-05,230400
Transformer-reconstruction,135-lay3-mod48-lat12-ff196,44,60,110,0.7885722,0.79539555,0.5781148,0.9105983,0.81933427,0.772816,0.8730321,0.79198027,0.80048126,0.58390325,0.9121363,0.8169193,0.7846917,0.8750157,0.004908459,0.0024374456,176319,0.0014319996,3.092203e-05,230400
Transformer-reconstruction,136-lay3-mod48-lat16-ff196,42,90,110,0.8107617,0.8130262,0.6257692,0.9137922,0.8565511,0.7737107,0.88109,0.7963059,0.7958732,0.5995157,0.9031886,0.85197216,0.7467057,0.86342597,0.0018441365,0.0016848914,176707,0.0014406624,4.125104e-05,230400
Transformer-reconstruction,136-lay3-mod48-lat16-ff196,43,60,110,0.8055712,0.8083728,0.61492556,0.9181172,0.84932363,0.7711892,0.88569427,0.8019725,0.8049923,0.607571,0.9144879,0.8450188,0.7685863,0.8790326,0.003561443,0.0017900366,176707,0.0014304409,2.6536884e-05,230400
Transformer-reconstruction,136-lay3-mod48-lat16-ff196,44,70,110,0.7909944,0.7915984,0.5878247,0.9013236,0.842545,0.7464617,0.8594201,0.77934945,0.7792635,0.56510466,0.8950572,0.83254737,0.7323898,0.8473937,0.0034365465,0.002232642,176707,0.0014671643,4.720438e-05,230400
Transformer-reconstruction,137-lay3-mod48-lat2-ff96,42,70,110,0.8244734,0.82650703,0.65333915,0.9271973,0.87112474,0.7862372,0.89390296,0.82710445,0.8291661,0.65856165,0.92707235,0.87363774,0.7890028,0.89448327,0.12960997,0.11752407,117149,0.001541198,3.5173827e-05,230400
Transformer-reconstruction,137-lay3-mod48-lat2-ff96,43,80,110,0.8178987,0.8158677,0.64490205,0.9208643,0.882403,0.75866276,0.8815411,0.8193615,0.81708276,0.64820087,0.9198664,0.88525057,0.75866276,0.87938476,0.1181346,0.11144449,117149,0.0014085758,3.4771965e-05,230400
Transformer-reconstruction,137-lay3-mod48-lat2-ff96,44,90,110,0.8352005,0.8303349,0.6844764,0.93015754,0.9174375,0.7583374,0.89630467,0.836318,0.83247745,0.6850879,0.92777765,0.9133476,0.7647633,0.8912189,0.087180994,0.085852474,117149,0.0015053531,3.1208543e-05,230400
